,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
20,SI,2021-08-17,93.1,-1.97,5.21,"Alonso, Pete",624413,657277,field_out,hit_into_play,,,,,13,"Pete Alonso grounds out, third baseman Evan Longoria to first baseman Brandon Belt.",R,R,R,SF,NYM,X,5.0,ground_ball,0,0,2021,-1.43,0.22,-1.33,2.23,,,,1,1,Top,102.23,166.29,,,457763,,,4.820268313146674,-135.5230441213212,-2.3432472365961283,-18.69873734969129,31.69545262525555,-29.142310717676978,3.49,1.6,5.0,60.9,-24.0,93.4,1770.0,6.6,632919,657277,457763,474832,600303,446334,543063,543105,573262,664774,53.87,0.077,0.075,0.0,1.0,0.0,0.0,2.0,2,1,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,247.0,0.015,-0.161
21,FS,2021-08-16,82.5,-2.58,5.98,"Alonso, Pete",624413,592332,triple,hit_into_play,,,,,6,Pete Alonso triples (1) on a sharp line drive to center fielder Austin Slater.   Brandon Nimmo scores.    Michael Conforto scores.,R,R,R,SF,NYM,X,8.0,line_drive,1,0,2021,-0.95,0.27,0.36,2.49,,607043.0,624424.0,0,5,Top,173.62,67.04,,,457763,,,8.548538890978111,-119.85229917049602,-1.917306164964056,-10.816912306724285,22.887351334245185,-29.443104855873926,3.49,1.6,281.0,112.6,11.0,82.7,1252.0,6.5,632886,592332,457763,527038,600303,446334,543063,573131,596103,592178,54.03,0.843,0.8909999999999999,1.6,1.0,1.0,2.0,6.0,38,2,Split-Finger,2,0,0,2,2,2,2,2,Standard,Standard,231.0,-0.261,1.76
22,FS,2021-08-16,83.3,-2.57,5.92,"Alonso, Pete",624413,592332,,ball,,,,,14,Pete Alonso triples (1) on a sharp line drive to center fielder Austin Slater.   Brandon Nimmo scores.    Michael Conforto scores.,R,R,R,SF,NYM,B,,,0,0,2021,-1.15,0.43,0.17,0.78,,607043.0,624424.0,0,5,Top,,,,,457763,,,8.577948996339718,-120.99748175005665,-6.248678320477195,-12.880554336039063,21.891830313710862,-26.890441726273746,3.48,1.65,,,,83.9,1324.0,6.6,632886,592332,457763,527038,600303,446334,543063,573131,596103,592178,53.91,,,,,,,,38,1,Split-Finger,2,0,0,2,0,2,0,2,Standard,Standard,234.0,0.0,0.07200000000000001
23,CH,2021-08-16,83.5,-2.6,5.96,"Alonso, Pete",624413,592332,hit_by_pitch,hit_by_pitch,,,,,11,Pete Alonso hit by pitch.    Michael Conforto to 2nd.,R,R,R,SF,NYM,B,,,0,0,2021,-1.09,0.79,-2.14,3.64,,,624424.0,2,3,Top,,,,,457763,,,3.210492435424737,-121.6009346555931,-0.426137990989651,-11.389745325359016,25.26000751786391,-24.52292766593147,3.49,1.6,,,,83.5,1140.0,6.4,632886,592332,457763,527038,456781,446334,543063,573131,596103,592178,54.15,,,0.7,1.0,0.0,0.0,,19,1,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,231.0,-0.022000000000000002,0.235
24,FF,2021-08-16,96.3,-2.35,6.06,"Alonso, Pete",624413,592332,field_out,hit_into_play,,,,,3,"Pete Alonso grounds out, shortstop Brandon Crawford to first baseman Wilmer Flores.   Brandon Nimmo to 2nd.",R,R,R,SF,NYM,X,6.0,ground_ball,3,2,2021,-0.84,1.52,0.69,3.42,,,607043.0,1,1,Top,110.16,147.34,,,457763,,,9.9807728703962,-139.75216239811843,-4.823502440477594,-13.389797649318206,33.71826127796972,-11.380781263157285,3.49,1.6,15.0,97.2,-12.0,96.0,2356.0,6.4,632886,592332,457763,527038,456781,446334,543063,573131,596103,592178,54.1,0.217,0.204,0.0,1.0,0.0,0.0,2.0,3,8,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,218.0,0.018000000000000002,-0.42100000000000004
25,FF,2021-08-16,96.3,-2.41,6.03,"Alonso, Pete",624413,592332,,ball,,,,,12,"Pete Alonso grounds out, shortstop Brandon Crawford to first baseman Wilmer Flores.   Brandon Nimmo to 2nd.",R,R,R,SF,NYM,B,,,2,2,2021,-0.82,1.24,0.48,3.69,,,607043.0,1,1,Top,,,,,457763,,,9.532917495897491,-139.99304419609902,-3.4740200444419864,-12.850587172423346,29.74372275958889,-15.274109593856453,3.26,1.58,,,,96.6,2266.0,6.4,632886,592332,457763,527038,456781,446334,543063,573131,596103,592178,54.09,,,,,,,,3,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,216.0,0.0,0.115
26,FF,2021-08-16,97.1,-2.39,5.95,"Alonso, Pete",624413,592332,,foul,,,,,6,"Pete Alonso grounds out, shortstop Brandon Crawford to first baseman Wilmer Flores.   Brandon Nimmo to 2nd.",R,R,R,SF,NYM,S,,,2,2,2021,-0.94,1.17,0.31,2.45,,,607043.0,1,1,Top,,,,,457763,,,9.413647948946275,-141.08644391323548,-6.580365015067601,-14.561256179679685,30.04698986643437,-15.128977019022178,3.49,1.6,165.0,73.6,58.0,97.7,2227.0,6.5,632886,592332,457763,527038,456781,446334,543063,573131,596103,592178,53.95,,,,,,,,3,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,222.0,0.0,0.0
27,FS,2021-08-16,85.1,-2.5,5.92,"Alonso, Pete",624413,592332,,blocked_ball,,,,,14,"Pete Alonso grounds out, shortstop Brandon Crawford to first baseman Wilmer Flores.   Brandon Nimmo to 2nd.",R,R,R,SF,NYM,B,,,1,2,2021,-1.2,0.09,0.19,0.31,,,607043.0,1,1,Top,,,,,457763,,,8.731753294639898,-123.58595988110136,-7.0532340612196505,-14.015265379739326,23.42515247400045,-30.091465316979203,3.37,1.63,,,,85.3,1555.0,6.4,632886,592332,457763,527038,456781,446334,543063,573131,596103,592178,54.07,,,,,,,,3,5,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,246.0,0.0,0.051
28,FF,2021-08-16,95.5,-2.45,6.18,"Alonso, Pete",624413,592332,,foul,,,,,5,"Pete Alonso grounds out, shortstop Brandon Crawford to first baseman Wilmer Flores.   Brandon Nimmo to 2nd.",R,R,R,SF,NYM,S,,,1,2,2021,-0.9,1.15,-0.21,2.38,,,607043.0,1,1,Top,,,,,457763,,,7.904654559038872,-138.73328773559422,-6.9743597789754475,-13.28553089180652,29.313656061010178,-15.941404055540273,3.49,1.6,155.0,73.4,64.0,95.7,2189.0,6.4,632886,592332,457763,527038,456781,446334,543063,573131,596103,592178,54.14,,,,,,,,3,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,219.0,0.0,0.0
29,FF,2021-08-16,96.1,-2.46,6.04,"Alonso, Pete",624413,592332,,foul,,,,,9,"Pete Alonso grounds out, shortstop Brandon Crawford to first baseman Wilmer Flores.   Brandon Nimmo to 2nd.",R,R,R,SF,NYM,S,,,1,1,2021,-0.83,1.27,0.42,2.18,,,607043.0,1,1,Top,,,,,457763,,,9.512096863831369,-139.48034817992544,-7.510257696570076,-12.884747139722805,30.232598229675784,-14.054414538174491,3.49,1.6,201.0,72.2,51.0,96.1,2266.0,6.4,632886,592332,457763,527038,456781,446334,543063,573131,596103,592178,54.14,,,,,,,,3,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,220.0,0.0,-0.083
